geoid,name,B01003001,"B01003001, Error"
16000US3651000,"New York, NY",8516202,
86000US07002,"07002",70468,48
86000US07008,"07008",25220,91
86000US07020,"07020",14544,21
86000US07024,"07024",39785,63
86000US07030,"07030",58340,59
86000US07036,"07036",45101,191
86000US07047,"07047",61202,39
86000US07064,"07064",3742,513
86000US07077,"07077",3196,523
86000US07086,"07086",16946,481
86000US07093,"07093",63321,39
86000US07202,"07202",44638,2166
86000US07206,"07206",31120,1753
86000US07302,"07302",55448,2150
86000US07305,"07305",71643,2315
86000US07310,"07310",14577,1082
86000US07311,"07311",1954,653
86000US07620,"07620",1503,235
86000US07632,"07632",5330,22
86000US07670,"07670",15252,37
86000US08861,"08861",58264,814
86000US10001,"10001",29079,1790
86000US10002,"10002",75517,3196
86000US10003,"10003",53825,2771
86000US10004,"10004",3875,914
86000US10005,"10005",9238,1029
86000US10006,"10006",4475,747
86000US10007,"10007",7802,1033
86000US10009,"10009",58341,3155
86000US10010,"10010",31905,2428
86000US10011,"10011",49344,2599
86000US10012,"10012",21846,1378
86000US10013,"10013",28215,1949
86000US10014,"10014",29772,1713
86000US10016,"10016",54297,2935
86000US10017,"10017",14985,1604
86000US10018,"10018",8764,895
86000US10019,"10019",44276,2476
86000US10020,"10020",0,13
86000US10021,"10021",39479,3033
86000US10022,"10022",34340,3342
86000US10023,"10023",67468,3113
86000US10024,"10024",62576,4431
86000US10025,"10025",93223,4081
86000US10026,"10026",37113,2352
86000US10027,"10027",65068,2952
86000US10028,"10028",45679,3621
86000US10029,"10029",74848,3555
86000US10030,"10030",30781,2084
86000US10031,"10031",60305,3268
86000US10032,"10032",55579,2987
86000US10033,"10033",53611,3447
86000US10034,"10034",39037,2747
86000US10035,"10035",39082,2044
86000US10036,"10036",30589,1814
86000US10037,"10037",18333,1653
86000US10038,"10038",23342,2496
86000US10039,"10039",30512,2809
86000US10040,"10040",41581,2456
86000US10044,"10044",11998,1062
86000US10065,"10065",31047,2440
86000US10069,"10069",6669,1750
86000US10075,"10075",23865,2511
86000US10103,"10103",0,13
86000US10110,"10110",0,13
86000US10111,"10111",0,13
86000US10112,"10112",0,13
86000US10115,"10115",0,13
86000US10119,"10119",0,13
