incident_zip,complaint_count,population,complaints_per_1000
00000,6,,
00083,5,,
1000,1,,
10000,33,,
10001,220,29079.0,7.565597166339971
10002,744,75517.0,9.852086285207305
10003,1079,53825.0,20.04644681839294
10004,51,3875.0,13.161290322580646
10005,30,9238.0,3.2474561593418487
10006,10,4475.0,2.2346368715083798
10007,60,7802.0,7.690335811330428
10009,974,58341.0,16.69494866388989
10010,248,31905.0,7.773076320325967
10011,1050,49344.0,21.279182879377434
10012,507,21846.0,23.207909914858554
10013,276,28215.0,9.782030834662415
10014,1210,29772.0,40.642214160956605
10016,689,54297.0,12.689467189715822
10017,259,14985.0,17.28395061728395
10018,90,8764.0,10.269283432222728
10019,462,44276.0,10.434546932875598
10020,4,0.0,inf
10021,1089,39479.0,27.58428531624408
10022,524,34340.0,15.259172976121143
10023,961,67468.0,14.24378964842592
10024,1220,62576.0,19.496292508309896
10025,1366,93223.0,14.653036267873807
10026,579,37113.0,15.601002344192061
10027,1141,65068.0,17.53550132169423
10028,880,45679.0,19.264870071586508
10029,768,74848.0,10.260795211628901
10030,474,30781.0,15.399109840486014
10031,983,60305.0,16.30047259762872
10032,610,55579.0,10.975368394537504
10033,610,53611.0,11.37826192385891
10034,782,39037.0,20.032277070471604
10035,663,39082.0,16.96433140576224
10036,368,30589.0,12.030468469057503
10037,261,18333.0,14.236622484045164
10038,159,23342.0,6.8117556336217975
10039,240,30512.0,7.865757734661772
10040,528,41581.0,12.698107308626536
10041,1,,
10044,7,11998.0,0.5834305717619602
10065,680,31047.0,21.902277192643414
10069,22,6669.0,3.298845404108562
10075,525,23865.0,21.99874292897549
10103,2,0.0,inf
10105,1,,
10112,1,0.0,inf
10115,4,0.0,inf
10119,1,0.0,inf
10128,1001,59000.0,16.966101694915256
10154,1,0.0,inf
10158,3,,
10162,6,1769.0,3.391746749576032
10178,2,,
10259,1,,
10280,17,8668.0,1.961236732810337
10281,1,,
10282,7,5960.0,1.174496644295302
