incident_zip,complaint_count,population,complaints_per_1000
00083,2,,
10000,1,,
10001,883,29079.0,30.365555899446335
10002,1629,75517.0,21.571301826078898
10003,2590,53825.0,48.118903855085925
10004,90,3875.0,23.225806451612904
10005,66,9238.0,7.1444035505520675
10006,74,4475.0,16.536312849162012
10007,228,7802.0,29.223276083055627
10009,1990,58341.0,34.10980271164362
10010,587,31905.0,18.398370161416707
10011,2228,49344.0,45.15239948119326
10012,1101,21846.0,50.39824224114255
10013,1084,28215.0,38.41928052454368
10014,1937,29772.0,65.06113126427515
10016,1591,54297.0,29.301803046208814
10017,327,14985.0,21.82182182182182
10018,426,8764.0,48.60794157918759
10019,2498,44276.0,56.41882735567802
10020,6,0.0,inf
10021,2443,39479.0,61.881000025329925
10022,798,34340.0,23.238206173558535
10023,1144,67468.0,16.956186636627734
10024,1768,62576.0,28.253643569419587
10025,1609,93223.0,17.259689132510218
10026,989,37113.0,26.648344245951552
10027,2028,65068.0,31.167394110776417
10028,1400,45679.0,30.648656932069443
10029,886,74848.0,11.8373236425823
10030,771,30781.0,25.047919170917122
10031,1783,60305.0,29.566370947682614
10032,1219,55579.0,21.93274438187085
10033,902,53611.0,16.82490533659137
10034,920,39037.0,23.567384788790125
10035,985,39082.0,25.203418453508007
10036,1553,30589.0,50.76988459903887
10037,622,18333.0,33.927889597992696
10038,360,23342.0,15.422842944049354
10039,452,30512.0,14.813843733613005
10040,574,41581.0,13.804381808999302
10044,4,11998.0,0.33338889814969164
10055,1,,
10065,963,31047.0,31.017489612522947
10069,23,6669.0,3.448792922477133
10075,1037,23865.0,43.45275508066206
10105,2,,
10107,1,,
10110,4,0.0,inf
10111,1,0.0,inf
10118,1,,
10119,2,0.0,inf
10120,1,,
10121,46,,
10123,1,,
10128,1856,59000.0,31.45762711864407
10153,1,0.0,inf
10154,1,0.0,inf
10155,2,,
10158,11,,
10162,5,1769.0,2.826455624646693
10167,2,0.0,inf
10169,2,0.0,inf
10173,3,0.0,inf
10174,1,0.0,inf
10177,1,0.0,inf
10179,1,,
10278,2,0.0,inf
10279,1,181.0,5.524861878453039
10280,5,8668.0,0.5768343331795108
10281,1,,
10282,5,5960.0,0.8389261744966443
10301,1013,39799.0,25.452900826653938
10302,531,19693.0,26.96389580053826
10303,569,25993.0,21.890508983187782
10304,816,45843.0,17.799882206661866
10305,1370,41714.0,32.84269070336098
10306,2649,57249.0,46.27155059477021
10307,448,14821.0,30.227380068821265
10308,1259,29996.0,41.97226296839578
10309,922,34918.0,26.404719628844724
10310,595,25824.0,23.040582403965303
10312,2889,63345.0,45.60738811271608
10314,2269,93539.0,24.257261676947582
10451,767,48975.0,15.661051556916792
10452,657,76745.0,8.560818294351423
10453,665,78270.0,8.496230995272775
10454,503,40368.0,12.460364645263574
10455,499,42940.0,11.620866325104798
10456,535,86958.0,6.152395409278043
10457,595,79375.0,7.496062992125984
10458,1170,78741.0,14.858841010401187
10459,349,49753.0,7.014652382770889
10460,628,61101.0,10.278064188802148
10461,1715,50900.0,33.693516699410615
10462,793,75452.0,10.50999310820124
10463,1341,69373.0,19.330286999264843
10464,222,4273.0,51.95413058740932
10465,851,46457.0,18.318014508039695
10466,891,74061.0,12.030623405030989
10467,3181,96304.0,33.0308190729357
10468,644,79825.0,8.067647979956153
10469,1141,69855.0,16.33383437119748
10470,464,15558.0,29.823884818100012
10471,356,23400.0,15.213675213675215
10472,416,63820.0,6.518332811031025
10473,378,59778.0,6.323396567299007
10474,454,11188.0,40.57919199141938
10475,55,42771.0,1.2859180285707605
11001,164,25714.0,6.3778486427626975
11004,476,14296.0,33.29602686066033
11040,106,42344.0,2.5033062535424144
11101,1402,39007.0,35.94226677263055
11102,868,28349.0,30.6183639634555
11103,1346,35357.0,38.06884068218457
11104,754,26825.0,28.10810810810811
11105,2460,38507.0,63.884488534552155
11106,1125,40657.0,27.67051184297907
11109,25,7388.0,3.3838657282079048
11201,2537,69251.0,36.63485003826659
11203,1754,76853.0,22.822791563114
11204,2486,81368.0,30.552551371546556
11205,1842,50205.0,36.689572751717954
11206,2206,89231.0,24.72234985599175
11207,1361,93445.0,14.564717213334045
11208,1040,106901.0,9.7286274216331
11209,2275,70756.0,32.152750296794615
11210,1947,60398.0,32.23616676048876
11211,3153,65691.0,47.997442572041834
11212,907,87946.0,10.313146703659063
11213,1876,69630.0,26.942409880798508
11214,2147,88994.0,24.1252219250736
11215,6514,70922.0,91.84738163052369
11216,4282,59913.0,71.47029859963614
11217,2690,42569.0,63.191524348704455
11218,3313,71313.0,46.457167697334285
11219,1960,94737.0,20.688854407464877
11220,4828,90792.0,53.17649132082121
11221,3073,90750.0,33.862258953168045
11222,2107,41418.0,50.87160171905935
11223,2917,78566.0,37.1280197540921
11224,360,48469.0,7.427427840475356
11225,2512,56544.0,44.425580079230336
11226,2676,100022.0,26.754114094899123
11228,1208,42325.0,28.541051388068517
11229,8286,79802.0,103.83198416079797
11230,4407,88252.0,49.936545347414224
11231,2132,39704.0,53.6973604674592
11232,1453,26681.0,54.45822870207263
11233,2218,82711.0,26.816263858495244
11234,2926,87778.0,33.334092825081456
